weeks,rep,E_obs,L_obs,P_obs,A_obs,DA,time,cpa
0,4,0,250,5,100,NA,0,NA
2,4,0,15,221,103,0,1,NA
4,4,0,184,13,237,2,2,NA
6,4,0,0,143,241,0,3,NA
8,4,0,104,2,297,3,4,NA
10,4,0,4,54,300,0,5,NA
12,4,0,23,5,323,2,6,NA
14,4,0,37,19,323,1,7,NA
16,4,0,26,25,328,0,8,NA
18,4,0,53,10,331,1,9,NA
20,4,0,31,41,330,4,10,NA
22,4,0,27,19,338,1,11,NA
24,4,0,40,22,343,1,12,NA
26,4,0,27,25,354,1,13,NA
28,4,0,44,17,359,0,14,NA
30,4,0,35,39,362,2,15,NA
32,4,0,22,26,370,2,16,NA
34,4,0,46,11,373,2,17,NA
36,4,0,22,34,377,3,18,NA
38,4,0,48,16,384,4,19,NA
40,4,0,18,39,386,3,20,NA
42,4,0,17,8,390,3,21,NA
44,4,0,19,8,389,3,22,NA
46,4,0,17,12,385,6,23,NA
48,4,0,31,16,382,5,24,NA
50,4,0,39,16,384,5,25,NA
52,4,0,19,28,377,10,26,NA
54,4,0,36,14,380,1,27,NA
56,4,0,17,23,385,0,28,NA
58,4,0,12,8,385,2,29,NA
60,4,0,4,3,383,2,30,NA
62,4,0,9,2,384,0,31,NA
64,4,0,18,3,380,5,32,NA
66,4,0,21,9,379,1,33,NA
68,4,0,27,11,377,4,34,NA
70,4,0,18,17,375,4,35,NA
72,4,0,31,7,377,2,36,NA
74,4,0,14,18,373,6,37,NA
76,4,0,21,3,372,4,38,NA
78,4,0,17,12,370,3,39,NA
80,4,0,28,11,366,6,40,NA
0,11,0,250,5,100,NA,0,NA
2,11,0,18,214,104,0,1,NA
4,11,0,203,16,226,0,2,NA
6,11,0,3,141,234,0,3,NA
8,11,0,62,1,283,0,4,NA
10,11,0,10,40,283,0,5,NA
12,11,0,26,6,292,0,6,NA
14,11,0,28,21,293,0,7,NA
16,11,0,21,13,302,2,8,NA
18,11,0,69,16,305,0,9,NA
20,11,0,33,46,307,0,10,NA
22,11,0,43,19,312,0,11,NA
24,11,0,48,12,309,6,12,NA
26,11,0,62,28,306,5,13,NA
28,11,0,41,46,313,1,14,NA
30,11,0,57,31,328,1,15,NA
32,11,0,24,36,335,0,16,NA
34,11,0,61,16,342,1,17,NA
36,11,0,21,49,344,2,18,NA
38,11,0,44,12,349,6,19,NA
40,11,0,28,26,349,2,20,NA
42,11,0,17,9,351,4,21,NA
44,11,0,31,2,350,4,22,NA
46,11,0,14,11,345,5,23,NA
48,11,0,27,12,346,4,24,NA
50,11,0,39,12,342,8,25,NA
52,11,0,31,24,336,9,26,NA
54,11,0,47,22,340,4,27,NA
56,11,0,28,21,349,2,28,NA
58,11,0,19,17,349,4,29,NA
60,11,0,7,14,357,0,30,NA
62,11,0,27,3,357,2,31,NA
64,11,0,21,13,350,4,32,NA
66,11,0,17,13,349,5,33,NA
68,11,0,36,13,347,4,34,NA
70,11,0,18,20,345,5,35,NA
72,11,0,41,9,350,2,36,NA
74,11,0,23,28,346,6,37,NA
76,11,0,32,11,349,4,38,NA
78,11,0,17,26,341,8,39,NA
80,11,0,53,12,346,4,40,NA
0,24,0,250,5,100,NA,0,NA
2,24,0,9,200,101,0,1,NA
4,24,0,232,6,214,2,2,NA
6,24,0,2,185,218,0,3,NA
8,24,0,83,1,287,0,4,NA
10,24,0,7,53,287,0,5,NA
12,24,0,41,6,310,0,6,NA
14,24,0,13,21,313,0,7,NA
16,24,0,49,6,319,1,8,NA
18,24,0,23,29,320,0,9,NA
20,24,0,41,11,326,1,10,NA
22,24,0,26,32,334,0,11,NA
24,24,0,37,17,335,1,12,NA
26,24,0,26,21,337,1,13,NA
28,24,0,33,21,340,2,14,NA
30,24,0,31,16,346,0,15,NA
32,24,0,34,22,348,1,16,NA
34,24,0,23,14,351,2,17,NA
36,24,0,42,11,353,2,18,NA
38,24,0,31,24,351,4,19,NA
40,24,0,29,17,354,1,20,NA
42,24,0,18,12,356,4,21,NA
44,24,0,28,6,356,3,22,NA
46,24,0,28,12,353,6,23,NA
48,24,0,33,15,356,1,24,NA
50,24,0,22,17,353,7,25,NA
52,24,0,34,13,342,12,26,NA
54,24,0,32,21,342,3,27,NA
56,24,0,29,21,344,4,28,NA
